Key,File,Type,UsedInMainMenu,NoTranslate,english
rollUpDoor3x3Black_Powered,blocks,block,,,Black Roll Up Door 3x3 (Powered)
rollUpDoor3x3Blue_Powered,blocks,block,,,Blue Roll Up Door 3x3 (Powered)
rollUpDoor3x3Brown_Powered,blocks,block,,,Brown Roll Up Door 3x3 (Powered)
rollUpDoor3x3Green_Powered,blocks,block,,,Green Roll Up Door 3x3 (Powered)
rollUpDoor3x3Grey_Powered,blocks,block,,,Grey Roll Up Door 3x3 (Powered)
rollUpDoor3x3Orange_Powered,blocks,block,,,Orange Roll Up Door 3x3 (Powered)
rollUpDoor3x3Pink_Powered,blocks,block,,,Pink Roll Up Door 3x3 (Powered)
rollUpDoor3x3Purple_Powered,blocks,block,,,Purple Roll Up Door 3x3 (Powered)
rollUpDoor3x3Red_Powered,blocks,block,,,Red Roll Up Door 3x3 (Powered)
rollUpDoor3x3White_Powered,blocks,block,,,White Roll Up Door 3x3 (Powered)
rollUpDoor3x3Yellow_Powered,blocks,block,,,Yellow Roll Up Door 3x3 (Powered)
rollUpDoor5x4Black_Powered,blocks,block,,,Black Roll Up Door 5x4 (Powered)
rollUpDoor5x4Blue_Powered,blocks,block,,,Blue Roll Up Door 5x4 (Powered)
rollUpDoor5x4Brown_Powered,blocks,block,,,Brown Roll Up Door 5x4 (Powered)
rollUpDoor5x4Green_Powered,blocks,block,,,Green Roll Up Door 5x4 (Powered)
rollUpDoor5x4Grey_Powered,blocks,block,,,Grey Roll Up Door 5x4 (Powered)
rollUpDoor5x4Orange_Powered,blocks,block,,,Orange Roll Up Door 5x4 (Powered)
rollUpDoor5x4Pink_Powered,blocks,block,,,Pink Roll Up Door 5x4 (Powered)
rollUpDoor5x4Purple_Powered,blocks,block,,,Purple Roll Up Door 5x4 (Powered)
rollUpDoor5x4Red_Powered,blocks,block,,,Red Roll Up Door 5x4 (Powered)
rollUpDoor5x4White_Powered,blocks,block,,,White Roll Up Door 5x4 (Powered)
rollUpDoor5x4Yellow_Powered,blocks,block,,,Yellow Roll Up Door 5x4 (Powered)
rollUpDoor7x4Black_Powered,blocks,block,,,Black Roll Up Door 7x4 (Powered)
rollUpDoor7x4Blue_Powered,blocks,block,,,Blue Roll Up Door 7x4 (Powered)
rollUpDoor7x4Brown_Powered,blocks,block,,,Brown Roll Up Door 7x4 (Powered)
rollUpDoor7x4Green_Powered,blocks,block,,,Green Roll Up Door 7x4 (Powered)
rollUpDoor7x4Grey_Powered,blocks,block,,,Grey Roll Up Door 7x4 (Powered)
rollUpDoor7x4Orange_Powered,blocks,block,,,Orange Roll Up Door 7x4 (Powered)
rollUpDoor7x4Pink_Powered,blocks,block,,,Pink Roll Up Door 7x4 (Powered)
rollUpDoor7x4Purple_Powered,blocks,block,,,Purple Roll Up Door 7x4 (Powered)
rollUpDoor7x4Red_Powered,blocks,block,,,Red Roll Up Door 7x4 (Powered)
rollUpDoor7x4White_Powered,blocks,block,,,White Roll Up Door 7x4 (Powered)
rollUpDoor7x4Yellow_Powered,blocks,block,,,Yellow Roll Up Door 7x4 (Powered)
rollUpGate3x3White_Powered,blocks,block,,,Roll Up Security Gate 3x3 (Powered)
rollUpDoor3x3_PoweredVariantHelper,blocks,Variant,,,Roll Up Door 3x3 (Powered)
rollUpDoor5x4_PoweredVariantHelper,blocks,Variant,,,Roll Up Door 5x4 (Powered)
rollUpDoor7x4_PoweredVariantHelper,blocks,Variant,,,Roll Up Door 7x4 (Powered)
rollUpGate3x3White_Powered,blocks,block,,,Roll Up Security Gate 3x3 (Powered)
rollUpGate4x3DiagonalWhite_Powered,blocks,block,,,"Roll Up Security Gate 4x3, Diagonal (Powered)"
rollUpGate4x3White_Powered,blocks,block,,,Roll Up Security Gate 4x3 (Powered)
rollUpGate5x3White_Powered,blocks,block,,,Roll Up Security Gate 5x3 (Powered)
